longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,bedrooms_per_room,ocean_proximity_<1H OCEAN,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-121.46,38.52,29.0,3873.0,797.0,2237.0,706.0,2.1736,5.485835694050214,3.168555240792752,0.20578363026077445,False,True,False,False,False
-117.23,33.09,7.0,5320.0,855.0,2015.0,768.0,6.3373,6.927083333332431,2.623697916666325,0.1607142857142827,False,False,False,False,True
-119.04,35.37,44.0,1618.0,310.0,667.0,300.0,2.875,5.393333333331536,2.2233333333325924,0.19159456118663834,False,True,False,False,False
-117.13,32.75,24.0,1877.0,519.0,898.0,483.0,2.2264,3.8861283643884295,1.8592132505172134,0.2765050612679661,False,False,False,False,True
-118.7,34.28,27.0,3536.0,646.0,1837.0,580.0,4.4964,6.096551724136879,3.1672413793097984,0.18269230769230252,True,False,False,False,False
-122.04,37.96,28.0,1207.0,252.0,724.0,252.0,3.6964,4.789682539680639,2.873015873014733,0.2087821043910349,False,False,False,True,False
-122.03,37.33,23.0,4221.0,671.0,1782.0,641.0,7.4863,6.585023400935009,2.780031201247616,0.15896706941482683,True,False,False,False,False
-118.31,34.2,36.0,1692.0,263.0,778.0,278.0,5.0865,6.0863309352496096,2.7985611510781303,0.1554373522458537,True,False,False,False,False
-121.95,37.27,17.0,1330.0,271.0,408.0,258.0,1.7171,5.155038759687924,1.5813953488365964,0.20375939849622526,True,False,False,False,False
-118.28,34.02,29.0,515.0,229.0,2690.0,217.0,0.4999,2.373271889399828,12.396313364049588,0.4446601941746709,True,False,False,False,False
-121.54,39.08,23.0,1076.0,216.0,724.0,197.0,2.3598,5.46192893400738,3.6751269035514342,0.20074349442377315,False,True,False,False,False
-117.99,33.69,12.0,2480.0,858.0,1441.0,788.0,1.6705,3.1472081218270116,1.8286802030454532,0.3459677419354699,True,False,False,False,False
-116.39,33.69,10.0,11659.0,2007.0,2186.0,1083.0,6.9833,10.76546629732126,2.018467220683101,0.17214169311261537,False,True,False,False,False
-119.83,36.78,30.0,3162.0,640.0,1660.0,639.0,2.8359,4.9483568075109625,2.5978090766819095,0.2024035420619797,False,True,False,False,False
-117.22,32.83,31.0,2558.0,512.0,1164.0,492.0,3.4318,5.199186991868862,2.3658536585361047,0.20015637216574667,False,False,False,False,True
-121.88,37.37,14.0,6016.0,1404.0,3258.0,1316.0,3.5745,4.571428571428224,2.4756838905773195,0.2333776595744642,True,False,False,False,False
-118.08,33.93,39.0,1478.0,324.0,1127.0,320.0,3.525,4.618749999998557,3.5218749999988996,0.21921515561568206,True,False,False,False,False
-117.91,33.65,17.0,1328.0,377.0,762.0,344.0,2.2222,3.8604651162779478,2.2151162790691235,0.2838855421686533,True,False,False,False,False
-122.53,37.9,44.0,2846.0,551.0,1232.0,537.0,3.8839,5.29981378025972,2.2942271880815093,0.19360505973295172,False,False,False,True,False
-117.86,33.79,42.0,1024.0,191.0,483.0,187.0,4.105,5.475935828874078,2.5828877005333784,0.18652343749998176,True,False,False,False,False
-117.26,34.48,6.0,4632.0,753.0,1851.0,694.0,4.1933,6.674351585013447,2.6671469740630163,0.16256476683937474,False,True,False,False,False
-122.28,37.91,48.0,2083.0,298.0,685.0,286.0,7.3089,7.283216783214237,2.395104895104058,0.1430628900624031,False,False,False,True,False
